

points    error
   100    1.7655e-02
   200    5.3456e-03
   300    2.4447e-03
   400    1.5164e-03
   500    1.2371e-03
   600    9.3502e-04
   700    8.8364e-04
   800    8.8364e-04
   900    7.7524e-04
  1000    7.7435e-04
  1100    7.5067e-04
  1200    7.5067e-04
  1300    7.5022e-04
  1400    3.0218e-04
  1500    1.8689e-04
  1600    1.8581e-04
  1700    1.6426e-04
  1800    1.4741e-04
  1900    1.4466e-04
  2000    1.3376e-04
  2100    1.3376e-04
  2200    1.1387e-04
  2300    1.0425e-04
  2400    1.0223e-04
  2500    1.0038e-04
  2600    8.7764e-05
  2700    8.5485e-05
  2800    8.3100e-05
  2900    7.3971e-05
  3000    6.5626e-05
  3100    5.9127e-05
  3200    5.9127e-05
  3300    5.9127e-05
  3400    5.2627e-05
  3500    5.2878e-05
  3600    5.2627e-05
  3700    4.5462e-05
  3800    4.8276e-05
  3900    3.9926e-05
  4000    3.9926e-05
  4100    3.9926e-05
  4200    3.9926e-05
  4300    3.8556e-05
  4400    3.8556e-05
  4500    3.5618e-05
  4600    3.4750e-05
  4700    3.0711e-05
  4800    2.9521e-05
  4900    2.9041e-05
  5000    2.8855e-05
